"","logFC","logCPM","F","PValue","FDR","genes"
"kdpF",3.51714826480389,6.27019746193252,1092.73404802901,1.06496385060603e-20,5.15123014538136e-17,"kdpF"
"pagN",3.59743746145608,8.26718591685677,1026.25917294177,2.14013594801894e-20,5.1759187902838e-17,"pagN"
"SL1344_0082",2.62430916577174,7.2954080522389,768.402530159339,5.27708223961525e-19,7.56866894521453e-16,"SL1344_0082"
"virK",3.08845405204763,10.9280217815,756.610288524084,6.2589778335452e-19,7.56866894521453e-16,"virK"
"phnO",2.77336635999119,6.48465432027431,666.209596344767,2.54092889210347e-18,2.4580946102209e-15,"phnO"
"lpxO",2.57719012091034,7.65741452311076,654.060932130359,3.11032262178866e-18,2.50743842026529e-15,"lpxO"
"phoN",3.00707580731747,9.66394059705066,649.666139062483,6.49064881736148e-18,4.48503833279678e-15,"phoN"
"htrA",2.19350785650306,10.0435041251757,580.826062753917,1.14320191891871e-17,6.91208460226224e-15,"htrA"
"slsA",2.92185726295465,5.66961503969226,530.4200313017,3.0809524883495e-17,1.65584079846072e-14,"slsA"
"SL1344_3560",2.05613081015511,7.41409718903619,489.88947970084,7.31866411627573e-17,3.54003783304257e-14,"SL1344_3560"
"SL1344_1795",3.80525562922031,6.41963245046233,648.135127549093,8.77966719537912e-17,3.86065911127716e-14,"SL1344_1795"
"udg",2.12577561976131,8.1607988632593,452.916134350791,1.71448046101656e-16,6.91078499161426e-14,"udg"
"yjbA",3.06945921137552,6.40014213645882,507.000148637108,1.89694990738978e-16,7.05811284772643e-14,"yjbA"
"ramA",2.1623129960505,5.64013730318222,436.656212370025,2.54642565413319e-16,8.79790063503016e-14,"ramA"
"mgtB",2.10848251014291,7.99543148917897,428.429887210909,3.1274076832963e-16,1.00848473094028e-13,"mgtB"
"kdpC",2.54680971696551,6.92343963505767,441.503626235472,3.90499291174598e-16,1.18052816963221e-13,"kdpC"
"yaiB",2.99670357536511,8.91844588950852,548.945940653183,4.43305792801744e-16,1.26133536457767e-13,"yaiB"
"SL1344_1469",2.06956509212513,6.18200502144194,408.744917526919,5.19471650748913e-16,1.39593576370694e-13,"SL1344_1469"
"SL1344_1189",1.83472303455329,6.38609711679813,393.833801055305,7.75016358645559e-16,1.97302848777293e-13,"SL1344_1189"
"SL1344_1602",2.18896119764488,8.45840826241764,388.832870753884,8.89165333891065e-16,2.0587231017188e-13,"SL1344_1602"
"yfiA",2.9119708834317,8.16464680391222,493.285838356345,8.93801636057367e-16,2.0587231017188e-13,"yfiA"
"pagO",3.32655984876248,6.97925523105114,522.434149863431,1.06868647619071e-15,2.3496529478793e-13,"pagO"
"yhbW",2.11725829774111,6.23927370894011,347.333225330689,2.9798180339692e-15,6.26668688274305e-13,"yhbW"
"SL1344_4434",2.829542038362,5.4956038996229,367.509728294722,3.46545817499846e-15,6.98434216352815e-13,"SL1344_4434"
"kdpD",1.90429824037801,8.33661690569464,321.469719853067,6.79659350032476e-15,1.31500491044283e-12,"kdpD"
"steA",2.73280863099603,9.08414348629109,424.598827260555,9.14007622952114e-15,1.65572790310598e-12,"steA"
"mig-14",2.60498183709004,9.95315667294354,392.525680288463,9.24222728630585e-15,1.65572790310598e-12,"mig-14"
"aroQ",2.21306515417783,5.9624686796097,308.465988241704,1.05359261252155e-14,1.75731981612646e-12,"aroQ"
"pqaA",2.39666235494557,5.41780490268234,309.025335515679,1.03354739667579e-14,1.75731981612646e-12,"pqaA"
"SL1344_4014",1.92034243318492,5.73194180586902,303.313373616946,1.25948335048212e-14,2.03070698876067e-12,"SL1344_4014"
"pdgL",2.14472734989373,6.49012290787246,306.797125375627,1.46715987254075e-14,2.2892426785418e-12,"pdgL"
"kdpB",2.92364200173249,9.10478546905499,448.001212512779,1.58680988309622e-14,2.39856231391763e-12,"kdpB"
"SL1344_1477",2.06418954834578,6.36771912801425,289.624501625172,2.05241426247131e-14,2.99026281393343e-12,"SL1344_1477"
"fadL",-2.20798767191028,8.16820083148122,288.97156705958,2.1019006754959e-14,2.99026281393343e-12,"fadL"
"SL1344_1794",3.40233057599918,4.89586745018385,313.177169959332,3.03707795707966e-14,4.19724173668409e-12,"SL1344_1794"
"leuA",1.61725303870202,7.20763744024509,276.669479161768,3.3246056374761e-14,4.34624796445186e-12,"leuA"
"msrA",1.64800847119298,6.81287371731074,277.068799498546,3.27452691250951e-14,4.34624796445186e-12,"msrA"
"cdh-a",1.54901041456465,9.30760845952617,273.73981639677,3.71853245401538e-14,4.73330038949273e-12,"cdh-a"
"pagK",2.77160289435457,6.17422847978023,361.122379625983,3.88360211944419e-14,4.81666242352604e-12,"pagK"
"pheS",-2.12341973960907,8.84879255279045,268.459761285372,4.56298934957136e-14,5.3832145082626e-12,"pheS"
"ygaM",1.95599434508561,5.79349597827952,268.778705289206,4.50645473800732e-14,5.3832145082626e-12,"ygaM"
"wrbA",1.59591162720335,6.2637907566422,265.504566859649,5.12509918473905e-14,5.90240589442447e-12,"wrbA"
"phoH",1.94727067524496,5.19377993339329,252.760576427983,8.57816704848812e-14,9.4301350030766e-12,"phoH"
"pmrD",1.75727491957735,7.63678107983387,252.917739680658,8.52261913044174e-14,9.4301350030766e-12,"pmrD"
"otsB",1.90337656819282,5.78838736909751,251.391342572285,9.07912063288184e-14,9.75904588916654e-12,"otsB"
"AmgR",1.82440704904372,6.6920343019198,249.834202042738,9.68782970674908e-14,1.01869635416403e-11,"AmgR"
"apt",-1.72880317265911,8.21637478018488,249.287519434632,9.91195379066583e-14,1.0200876699032e-11,"apt"
"SL1344_1188",1.60573827860736,5.84650338333254,247.594944655763,1.06423991026312e-13,1.07244342623806e-11,"SL1344_1188"
"yjeH",1.66271616233345,7.37221412107113,245.48549149575,1.16358596524743e-13,1.14862557426567e-11,"yjeH"
"SL1344_3350",1.49410121712763,6.3547102788434,244.766809585033,1.19970210837743e-13,1.16059181964433e-11,"SL1344_3350"
"rseA",1.32467652914636,7.98561778210797,243.133498233917,1.28640104277547e-13,1.22006310664803e-11,"rseA"
"yfcG",1.63680945091367,5.84855810403613,239.641195136209,1.49555188356855e-13,1.39115085785021e-11,"yfcG"
"hyaA2",1.84802538271091,5.39434996355315,236.829589021848,1.69088079637013e-13,1.54316800227214e-11,"hyaA2"
"SL1344_2272",1.60502439000688,6.56270869078587,235.411812687014,1.79976642395831e-13,1.61212410975673e-11,"SL1344_2272"
"ramR",1.45603767531264,6.30997690420039,233.4523582191,1.96300542820495e-13,1.71726869647097e-11,"ramR"
"kdpA",3.14502105720671,9.50726276185163,427.029972456332,1.98815478607349e-13,1.71726869647097e-11,"kdpA"
"yiaG",2.0602010873343,4.82736733176039,228.707765902737,2.42903637193999e-13,2.06127174229364e-11,"yiaG"
"dacC",1.38158338146904,7.14525941001219,225.781273737544,2.77571405657353e-13,2.30564845554964e-11,"dacC"
"yfcF",1.45618547330853,6.19691543456728,225.495517262899,2.81234771299211e-13,2.30564845554964e-11,"yfcF"
"ybiH",1.79278624878515,6.97297584360649,226.436878370885,3.09323915895627e-13,2.47339040464727e-11,"ybiH"
"ssrB",2.49136814768476,5.76346218980067,277.680100660551,3.11922296223864e-13,2.47339040464727e-11,"ssrB"
