"","logFC","logCPM","F","PValue","FDR","genes"
"SL1344_0082",3.20003026242064,7.2954080522389,1166.87450904551,5.12750375233741e-21,2.4801735650056e-17,"SL1344_0082"
"kdpF",3.46381641940585,6.27019746193252,1051.84257156206,1.62768994809055e-20,3.936568139457e-17,"kdpF"
"udg",3.01818000103643,8.1607988632593,943.49072954064,5.4440218213541e-20,7.80241777087211e-17,"udg"
"phnO",3.24044584276943,6.48465432027431,929.146440905019,6.45227849565608e-20,7.80241777087211e-17,"phnO"
"virK",3.29903833889174,10.9280217815,863.522367873333,1.45264192157043e-19,1.40528579492724e-16,"virK"
"pagN",3.26548245215098,8.26718591685677,840.627284235669,1.95569502575982e-19,1.57661613993337e-16,"pagN"
"cpxP",3.81354357166271,7.77807599935934,903.773388355163,9.33568296390029e-19,6.4509569280551e-16,"cpxP"
"phoN",3.0624751699375,9.66394059705066,673.877182607894,4.38197753098939e-18,2.64945316467446e-15,"phoN"
"pagO",4.24981445003443,6.97925523105114,877.759875967507,7.24499514922405e-18,3.69138255040074e-15,"pagO"
"SL1344_1795",4.25636473600041,6.41963245046233,823.468147375751,8.39470912846974e-18,3.69138255040074e-15,"SL1344_1795"
"AmgR",2.73152959711153,6.6920343019198,598.215938312248,8.27748481293269e-18,3.69138255040074e-15,"AmgR"
"yfiA",3.62046573907243,8.16464680391222,774.624575728918,1.02849719854726e-17,4.14570079114424e-15,"yfiA"
"SL1344_3560",2.20860079663131,7.41409718903619,568.913294258556,1.43396372677689e-17,5.21677018182995e-15,"SL1344_3560"
"yjbA",3.44084119757164,6.40014213645882,646.86731234946,1.5099190106599e-17,5.21677018182995e-15,"yjbA"
"otsB",2.74737532979723,5.78838736909751,562.328221076469,1.62852712495804e-17,5.25145713561471e-15,"otsB"
"SL1344_2272",2.2831883691459,6.56270869078587,500.633939219513,5.78095295276966e-17,1.64485114309099e-14,"SL1344_2272"
"yhbW",2.51357144896776,6.23927370894011,501.95586967501,5.61749409784249e-17,1.64485114309099e-14,"yhbW"
"htrA",2.00577606437382,10.0435041251757,481.121324013641,8.90492062826691e-17,2.39295005994039e-14,"htrA"
"SL1344_3350",2.01884217792496,6.3547102788434,466.047163207969,1.25786979016826e-16,3.20227167107571e-14,"SL1344_3350"
"SL1344_1794",4.19662170251346,4.89586745018385,518.619579399877,1.80400646863681e-16,4.36298964439812e-14,"SL1344_1794"
"ygaM",2.4751362572995,5.79349597827952,448.621973064019,1.90074937123328e-16,4.37805938507399e-14,"ygaM"
"pmrD",2.28488576303293,7.63678107983387,441.102430967734,2.28220826474669e-16,5.01774608026353e-14,"pmrD"
"SL1344_1189",1.92102164560934,6.38609711679813,432.575509282981,2.81840591202304e-16,5.92723017237193e-14,"SL1344_1189"
"kdpD",2.12925009041522,8.33661690569464,406.354148221846,5.53363844304333e-16,9.65093056217195e-14,"kdpD"
"kdpC",2.52253071854535,6.92343963505767,430.935204679323,5.04549393695212e-16,9.65093056217195e-14,"kdpC"
