"","logFC","logCPM","F","PValue","FDR","genes"
"SL1344_0082",3.06061088684969,7.2954080522389,1067.12508880764,1.3864612241038e-20,3.35315647049505e-17,"SL1344_0082"
"kdpF",3.49971493035761,6.27019746193252,1084.29593677368,1.16089518309721e-20,3.35315647049505e-17,"kdpF"
"pagN",3.53259720689125,8.26718591685677,989.970046776163,3.19248065041047e-20,5.14734296867849e-17,"pagN"
"htrA",2.72530529990439,10.0435041251757,911.868135451468,7.94497649469607e-20,7.68597026096897e-17,"htrA"
"otsB",3.43880599728298,5.78838736909751,923.185005919336,6.92961839590545e-20,7.68597026096897e-17,"otsB"
"otsA",2.87013344433809,6.25973776817728,851.970552924773,1.6861454756753e-19,1.10430938090544e-16,"otsA"
"ygaM",3.29838688164326,5.79349597827952,845.839044254405,1.82643685078427e-19,1.10430938090544e-16,"ygaM"
"phnO",3.10419299745616,6.48465432027431,852.785192650159,1.66840629859041e-19,1.10430938090544e-16,"phnO"
"virK",3.1001528534516,10.9280217815,762.523022371907,5.74387445561117e-19,3.08701341575458e-16,"virK"
"udg",2.66953514307998,8.1607988632593,732.904903986939,8.89081100307979e-19,4.30048528218969e-16,"udg"
"ygdI",2.63778409049558,6.13462311271574,722.256281832836,1.04467906963387e-18,4.59373878165364e-16,"ygdI"
"wrbA",2.46420624676227,6.2637907566422,678.477476696448,2.07911085534626e-18,8.3805493394249e-16,"wrbA"
"SL1344_3560",2.30280320306762,7.41409718903619,624.668101791185,5.15190825898522e-18,1.91690617297781e-15,"SL1344_3560"
"phoN",2.99776984410259,9.66394059705066,645.815552464211,6.91814998869878e-18,2.39022082109543e-15,"phoN"
"SL1344_1423",2.88225129941612,4.40661088584729,599.904413635472,8.02589290598224e-18,2.58808293241574e-15,"SL1344_1423"
"dlhH",2.92264803259769,6.1602213382157,594.236254970972,8.90509647510161e-18,2.61972741326101e-15,"dlhH"
"yjbA",3.50703270616816,6.40014213645882,678.261402450906,9.20722886612305e-18,2.61972741326101e-15,"yjbA"
"yhbW",2.64653164362202,6.23927370894011,565.672856186315,1.52634248604151e-17,4.10162144721265e-15,"yhbW"
"SL1344_1795",4.08293928231706,6.41963245046233,757.388872505002,1.90932751470861e-17,4.86074588876081e-15,"SL1344_1795"
"yiaG",3.01597203282931,4.82736733176039,549.144721593596,2.11017278836377e-17,5.10345288865779e-15,"yiaG"
"pagO",4.01081209399178,6.97925523105114,781.180609534571,2.23778446216133e-17,5.1543635445116e-15,"pagO"
"osmE",1.92386221248331,6.8893824456939,521.046079536107,3.74176369842203e-17,7.86909174315971e-15,"osmE"
"osmY",3.5942581536724,7.85637287753859,750.0651081495,3.64893363297637e-17,7.86909174315971e-15,"osmY"
"yfiA",3.37452363976135,8.16464680391222,672.355673413327,4.20128212720672e-17,8.46733402054122e-15,"yfiA"
"cpxP",3.14369212167692,7.77807599935934,609.339629868081,5.2656296465931e-17,1.01879402402283e-14,"cpxP"
"yeaG",2.37945205802993,6.15484578667752,498.330227825268,6.07831622892527e-17,1.13080059997352e-14,"yeaG"
"yddX",3.16692271134221,4.70517752030807,494.021771954252,6.68011948136934e-17,1.19673103449569e-14,"yddX"
"slsA",2.79229423933321,5.66961503969226,481.874180493981,8.75500972095524e-17,1.51242792929502e-14,"slsA"
"katE",2.23056863096145,5.97261028486136,468.672354462471,1.18353589718178e-16,1.97405625333388e-14,"katE"
"kdpC",2.67218233083588,6.92343963505767,490.230420476068,1.28643481774955e-16,2.07416173781819e-14,"kdpC"
"SL1344_1243",3.59546466348464,6.06619237682063,619.703079397654,1.369265582556e-16,2.13649600736238e-14,"SL1344_1243"
"AmgR",2.40282320012282,6.6920343019198,456.788951825586,1.5634409016671e-16,2.36323863792618e-14,"AmgR"
"treA",2.1032107322018,5.83383844502522,451.738784059072,1.76349001822442e-16,2.58484885398531e-14,"treA"
"cypD",-2.54840575430973,9.88758121400691,445.550182101414,2.04747344951156e-16,2.82960830722497e-14,"cypD"
"SL1344_1189",1.94249664536563,6.38609711679813,446.730825184686,1.98967090972066e-16,2.82960830722497e-14,"SL1344_1189"
"lpxO",2.12604243925561,7.65741452311076,436.127057879438,2.58002432501113e-16,3.4665493500219e-14,"lpxO"
"SL1344_1424",2.96086636937071,4.04113719135561,432.058513923047,2.8550613630301e-16,3.63419258236226e-14,"SL1344_1424"
"yjgB",2.35746044985838,5.56588501747673,432.502824625336,2.8235282419891e-16,3.63419258236226e-14,"yjgB"
"SL1344_1421",2.57486802807015,5.31040616429748,426.094780411589,3.31754758731675e-16,4.11460966150029e-14,"SL1344_1421"
"SL1344_1794",4.06566254316959,4.89586745018385,487.318930664494,3.41794403134817e-16,4.12265782296746e-14,"SL1344_1794"
"treF",1.86431205755837,6.88269283660671,424.048900173774,3.49450011870304e-16,4.12265782296746e-14,"treF"
"SL1344_1469",2.09924073943314,6.18200502144194,422.854539118331,3.60253220131045e-16,4.14891625184254e-14,"SL1344_1469"
"malG",2.2684492920011,5.56581788988728,420.103074948647,3.86549499050966e-16,4.34823238816168e-14,"malG"
"yjeH",2.12596520690945,7.37221412107113,415.062092722801,4.40311728501468e-16,4.84042688809455e-14,"yjeH"
"kdpD",2.12774661022853,8.33661690569464,406.737654177785,5.4776888394083e-16,5.88790687027065e-14,"kdpD"
"glgB",1.97432322494426,7.69770935477751,402.544961679008,6.12439488677912e-16,6.43993436246752e-14,"glgB"
"yncD",1.92643511417561,5.91153559824094,400.374740564502,6.49140240455444e-16,6.58076454446138e-14,"yncD"
"SL1344_2272",2.05056780820556,6.56270869078587,400.151872833735,6.53042584523768e-16,6.58076454446138e-14,"SL1344_2272"
"SL1344_4434",3.01616905265425,5.4956038996229,426.420113795073,7.37065676364178e-16,7.27589117668067e-14,"SL1344_4434"
"fadL",-2.66212301232509,8.16820083148122,393.740210275242,7.76999959641097e-16,7.51669760956797e-14,"fadL"
