"","logFC","logCPM","F","PValue","FDR","genes"
"mgtB",4.50850240839557,7.99543148917897,2033.1290092469,1.02772895586312e-23,4.97112495950992e-20,"mgtB"
"AmgR",3.86480908037678,6.6920343019198,1242.91566767295,2.53674693944899e-21,6.13512247305738e-18,"AmgR"
"kdpF",3.56011733510041,6.27019746193252,1111.96221573817,8.77054682609796e-21,1.41410449992786e-17,"kdpF"
"SL1344_0082",2.97701562902392,7.2954080522389,999.286342544956,2.87707600925278e-20,3.47910416418892e-17,"SL1344_0082"
"pagN",3.19850942494149,8.26718591685677,804.03279426768,3.19898519347814e-19,3.09469827617075e-16,"pagN"
"htrA",2.5449631569211,10.0435041251757,790.787355487645,3.8433312582465e-19,3.09836554935639e-16,"htrA"
"phnO",2.92110965250927,6.48465432027431,738.822536902517,8.13662041233252e-19,5.62240470492177e-16,"phnO"
"yfiA",3.74690865634442,8.16464680391222,829.761993455098,5.18338298788372e-18,2.93436435396407e-15,"yfiA"
"yicL",2.33106089288654,6.96231193846987,618.382669623735,5.75607676995737e-18,2.93436435396407e-15,"yicL"
"cpxP",3.48984923819874,7.77807599935934,753.051773091021,6.06649649362017e-18,2.93436435396407e-15,"cpxP"
"virK",2.73945663007429,10.9280217815,592.330901668773,9.22375102475327e-18,4.05593488243014e-15,"virK"
"SL1344_4014",2.59496236943431,5.73194180586902,580.009649177891,1.16092785761089e-17,4.67950670605325e-15,"SL1344_4014"
"leuA",2.22021487274279,7.20763744024509,540.544206101264,2.50688294278818e-17,9.20277908042839e-15,"leuA"
"speB",-2.47517388105885,8.83363083055155,537.547571828568,2.66361189013846e-17,9.20277908042839e-15,"speB"
"slsA",2.88645420570654,5.66961503969226,509.641417593319,4.76142884069229e-17,1.53540208682857e-14,"slsA"
"phoN",2.72438864805929,9.66394059705066,529.7603961888,5.75306077941484e-17,1.73922218687685e-14,"phoN"
"pagO",3.78504704506347,6.97925523105114,685.275297694418,7.91720220568865e-17,2.25267688640682e-14,"pagO"
"SL1344_3560",2.04673513885313,7.41409718903619,481.916681982991,8.74662898530061e-17,2.35041357788328e-14,"SL1344_3560"
"SL1344_2272",2.22914522096506,6.56270869078587,473.639353423785,1.05563511270021e-16,2.68742475796363e-14,"SL1344_2272"
"lpxO",2.20249556628033,7.65741452311076,467.083253052281,1.22794230424604e-16,2.96977846281906e-14,"lpxO"
"nixA",2.41795008555284,5.91095373320478,437.350040727578,2.50309044109228e-16,5.76545164931589e-14,"nixA"
"SL1344_1795",3.58690125898148,6.41963245046233,563.143332845226,3.45810674114876e-16,7.6031192304257e-14,"SL1344_1795"
"ilvG",2.07196336539733,7.68293875589139,416.889257554476,4.19938887692464e-16,8.8314973902976e-14,"ilvG"
"yjbA",2.96736498347965,6.40014213645882,465.756010060731,4.55529559759787e-16,9.18081866899203e-14,"yjbA"
