"","logFC","logCPM","F","PValue","FDR","genes"
"SL1344_0082",3.23920968611025,7.2954080522389,1197.27821953887,3.84966239701738e-21,5.23575820727691e-18,"SL1344_0082"
"htrA",3.15231980976649,10.0435041251757,1225.81136145992,2.96067308493371e-21,5.23575820727691e-18,"htrA"
"pagN",3.8660180629148,8.26718591685677,1184.7190958271,4.32975663202556e-21,5.23575820727691e-18,"pagN"
"kdpF",3.85808727492516,6.27019746193252,1330.5092456844,1.18634986593264e-21,5.23575820727691e-18,"kdpF"
"phnO",3.4007970195682,6.48465432027431,1030.85056105731,2.03655404174223e-20,1.97016237998143e-17,"phnO"
"virK",3.52957317178937,10.9280217815,987.237482967486,3.2919865563905e-20,2.65388982887681e-17,"virK"
"udg",2.9568144663893,8.1607988632593,904.375839418723,8.70571588690059e-20,4.87199203783238e-17,"udg"
"yfiA",4.62066482845398,8.16464680391222,1256.4741348749,8.12603648397612e-20,4.87199203783238e-17,"yfiA"
"SL1344_3350",2.7423442602722,6.3547102788434,901.080465986236,9.06510819526388e-20,4.87199203783238e-17,"SL1344_3350"
"phoN",3.50699845956729,9.66394059705066,884.960985732355,2.31969839726852e-19,1.12203811475878e-16,"phoN"
"SL1344_3560",2.59378461668934,7.41409718903619,800.583936233141,3.35459165304925e-19,1.47510543870902e-16,"SL1344_3560"
"cpxP",3.76307654831842,7.77807599935934,879.875654047152,1.22955464717455e-18,4.95612985698606e-16,"cpxP"
"slsA",3.25202417784051,5.66961503969226,667.86420917198,2.47259391225681e-18,9.19995134891246e-16,"slsA"
"SL1344_1469",2.55356029283296,6.18200502144194,640.441225088241,3.91875579599527e-18,1.35393012751637e-15,"SL1344_1469"
"pagO",4.35907251043236,6.97925523105114,925.220778643886,4.34886799653568e-18,1.40236496661621e-15,"pagO"
"SL1344_1795",4.36696772742046,6.41963245046233,870.071036691566,4.88389876731276e-18,1.47646364609324e-15,"SL1344_1795"
"yjbA",3.60296347778944,6.40014213645882,714.450070927207,5.34760353705062e-18,1.52155048874787e-15,"yjbA"
"SL1344_3010",3.85008043653037,4.36060928152805,602.474511823853,7.65876489802973e-18,1.99184871185354e-15,"SL1344_3010"
"yhbW",2.73135222299992,6.23927370894011,601.300911029913,7.82409045383858e-18,1.99184871185354e-15,"yhbW"
"kdpC",2.99340694853644,6.92343963505767,620.780880827392,1.03375167243218e-17,2.50012841977723e-15,"kdpC"
"AmgR",2.69669090223407,6.6920343019198,582.028340955821,1.11763205212007e-17,2.5742791600499e-15,"AmgR"
"yebE",2.2185858611677,6.51066565202746,545.125200833479,2.28634931570113e-17,5.02685074547562e-15,"yebE"
