"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"acnB",-2.57028662928337,8.34066046333822,870.010607379688,4.35081759904168e-25,2.10100981857723e-21,"SL1344_0159","acnB"
"artI",-2.48351561821375,7.10013248319505,515.875026556272,1.70421574862866e-21,4.11482892506391e-18,"SL1344_0866","artI"
"mgtB",2.51449187919518,7.12099518868587,513.720743782167,4.17517883169147e-20,6.72064619274604e-17,"SL1344_3728","mgtB"
"fadL",-1.45495043232899,8.37558331154956,372.684070858469,2.07442994811041e-19,2.07201421859265e-16,"SL1344_2360","fadL"
"pipB2",2.86913850240699,7.35950857003153,605.239891538956,2.17954832898099e-19,2.07201421859265e-16,"SL1344_2763","pipB2"
"AmgR",2.40299556104257,5.86220602757339,367.363867871514,2.57446372158955e-19,2.07201421859265e-16,"AmgR","AmgR"
"pheS",-1.37800568696448,8.99856597764757,347.616063007806,5.88983600827261e-19,4.06314544056407e-16,"SL1344_1271","pheS"
"udg",1.76219669377614,7.15679586995023,338.307824712962,8.83202348001737e-19,5.33123017312549e-16,"SL1344_2057","udg"
"accD",-1.32340843461498,8.85090344337554,333.285486868191,1.10369216286642e-18,5.92192161609104e-16,"SL1344_2335","accD"
"artQ",-2.14620158727459,5.87586969781392,320.411787846171,1.98226385865051e-18,9.5723521734233e-16,"SL1344_0865","artQ"
"artM",-2.29929032773567,5.87033849903982,296.758858394818,6.16102723666559e-18,2.70469095689619e-15,"SL1344_0864","artM"
"virK",2.80460545963751,10.4303749066309,572.93867407207,2.28013373167623e-17,9.17563815855377e-15,"SL1344_2764","virK"
"proV",1.51415045689622,6.97685149272213,261.227986982789,3.9860157139491e-17,1.4806515294354e-14,"SL1344_2794","proV"
"pagN",1.91891533427021,6.7904184141613,278.719726089047,5.08525449226361e-17,1.53479337144631e-14,"SL1344_0302","pagN"
"yfcL",-1.69211499164557,5.83360606745145,258.403990220644,4.66828435138864e-17,1.53479337144631e-14,"SL1344_2349","yfcL"
"tldD",-1.29583042248566,7.58032012397101,257.046057708585,5.03954280680279e-17,1.53479337144631e-14,"SL1344_3340","tldD"
"orgB",1.27881618703244,8.78395595042717,226.204239907213,3.18101820331962e-16,9.03596288460614e-14,"SL1344_2849","orgB"
"ffh",-1.04355583745961,8.53783022661536,225.089698554711,3.41387090656445e-16,9.15865700433318e-14,"SL1344_2650","ffh"
"yieG",-1.40046082293883,6.13012343615881,222.990452089376,3.90300066939653e-16,9.91978433290307e-14,"SL1344_3818","yieG"
"bglA",-1.39484939305801,6.46049552236185,210.111854258404,9.09927122589578e-16,2.19701903749254e-13,"SL1344_3027","bglA"
"folC",-1.04940669665102,8.07872066599949,208.612857194178,1.00707548947296e-15,2.31579406603091e-13,"SL1344_2334","folC"
"aroQ",2.10211099515641,5.51569056111863,206.489644028987,2.60712702736122e-15,5.72264382505788e-13,"SL1344_1204","aroQ"
"yicL",1.39908964809598,6.30628130880551,191.877692847126,3.2695571614585e-15,6.8646484924709e-13,"SL1344_3730","yicL"
"yaiB",1.96632169716877,8.08924003548228,322.130866788382,3.69896876864442e-15,7.44263340990995e-13,"SL1344_0378","yaiB"
