"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"pmgI",-2.25190609779825,7.24390125042504,656.379199133215,3.57308034883164e-23,1.7254405004508e-19,"SL1344_3670","pmgI"
"fabF",-1.88353529984201,10.5285411406071,581.659245439317,2.32801407872013e-22,5.62098999306976e-19,"SL1344_1134","fabF"
"acpP",-2.08786608802085,11.5917589238874,368.917420034011,9.17539486642798e-17,1.47693272699936e-13,"SL1344_1133","acpP"
"virK",2.46243551704635,10.4303749066309,452.316859669746,2.84188437641616e-16,3.4308649134284e-13,"SL1344_2764","virK"
"mgtB",1.63661387834883,7.12099518868587,215.916807195345,4.8530532758294e-15,4.68707885379604e-12,"SL1344_3728","mgtB"
"gnd",-0.918535946525237,10.0769480487043,178.148582044427,9.19482571940472e-15,7.37210276435616e-12,"SL1344_2058","gnd"
"AmgR",1.69496275795633,5.86220602757339,176.224067637035,1.06864194140595e-14,7.37210276435616e-12,"AmgR","AmgR"
"pipB2",1.80170864511759,7.35950857003153,238.682232093555,1.60283442185368e-14,9.67510927891429e-12,"SL1344_2763","pipB2"
"mig-14",2.07002846468828,9.40092340874212,318.73568157787,6.54084561102468e-14,3.50952705062646e-11,"SL1344_2765","mig-14"
"cdh-a",1.05378299409399,8.93895516338044,152.835466980017,7.49144703325457e-14,3.61761977235863e-11,"SL1344_4013","cdh-a"
"pagN",1.46194169632973,6.7904184141613,160.205100528084,9.11718880555057e-14,4.0024458856367e-11,"SL1344_0302","pagN"
"udg",1.14756430263937,7.15679586995023,142.647389796375,1.89297880404308e-13,7.61766220393671e-11,"SL1344_2057","udg"
"sodCa",1.01744596089907,7.45933368680488,141.345700243955,2.13930829106678e-13,7.9467074904319e-11,"SL1344_0983","sodCa"
"SL1344_3189",-1.30011458282403,8.5317571897888,171.054432236907,5.04186618395883e-13,1.73908370016694e-10,"SL1344_3189","SL1344_3189"
"putA",-1.03683845796723,7.03857687959455,124.856845552652,1.09718792409824e-12,3.31145030341899e-10,"SL1344_1062","putA"
"orgB",0.948058129285647,8.78395595042717,125.470203864044,1.02932457036355e-12,3.31145030341899e-10,"SL1344_2849","orgB"
"SL1344_P2_0021",-0.760351788536037,7.8155641805943,123.360436987685,1.28348449217759e-12,3.6458509486621e-10,"SL1344_P2_0021","SL1344_P2_0021"
"gpmA",-0.778701211415936,9.73948058593948,118.291762797163,2.2084930521816e-12,5.92489608276942e-10,"SL1344_0749","gpmA"
"mdoB",0.916113433830359,9.2715461191967,110.456256467653,7.36582967414766e-12,1.87208376297153e-09,"SL1344_4472","mdoB"
"yaiB",1.32202606147347,8.08924003548228,147.380477475471,1.43358418069341e-11,3.46138900428423e-09,"SL1344_0378","yaiB"
"orgC",1.03639990818467,7.13534821880016,100.861064172904,3.62089544522154e-11,8.32633528808326e-09,"SL1344_2848","orgC"
"dps",-1.14230051374881,7.17060816487677,110.761542964436,5.3754777927248e-11,1.17991737550309e-08,"SL1344_0806","dps"
"SL1344_P1_0061",0.988722862618691,9.73230623610275,104.540955427891,8.45328555834486e-11,1.77482243309771e-08,"SL1344_P1_0061","SL1344_P1_0061"
