"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:sey02020",188,"Up",1.27880176842844e-10,1.76474644043125e-08,1.27515351424545e-13,2.93285308276454e-12,"Two-component system"
"path:sey00500",36,"Up",2.52639153689488e-09,1.24530744030618e-07,1.944761739931e-12,1.91697942936056e-11,"Starch and sucrose metabolism"
"path:sey00633",8,"Up",3.54847745820854e-09,1.24530744030618e-07,9.3117788845784e-07,1.24759755929303e-06,"Nitrotoluene degradation"
"path:sey00364",1,"Up",4.51198347937021e-09,1.24530744030618e-07,4.51198347937021e-09,8.41423946152824e-09,"Fluorobenzoate degradation"
"path:sey00623",1,"Up",4.51198347937021e-09,1.24530744030618e-07,4.51198347937021e-09,8.41423946152824e-09,"Toluene degradation"
"PmrAB",17,"Up",8.24606730729006e-09,1.86240361640958e-07,5.28567327864085e-10,1.30254091509364e-09,"PmrAB"
"RcsB",26,"Up",9.44697486584571e-09,1.86240361640958e-07,1.22462233266858e-13,2.93285308276454e-12,"RcsB"
"path:sey00440",3,"Up",1.11474225546202e-08,1.92222568499305e-07,0.00554975833753103,0.00654586880836993,"Phosphonate and phosphinate metabolism"
"path:sey00361",2,"Up",1.2536254467346e-08,1.92222568499305e-07,0.106932555803507,0.114392966673519,"Chlorocyclohexane and chlorobenzene degradation"
"RpoS",64,"Up",1.72934978800647e-08,2.38650270744892e-07,1.31366366421543e-11,7.88198198529258e-11,"RpoS"
"path:sey01503",36,"Up",2.30631592954581e-08,2.89337816615747e-07,3.56099542241522e-10,9.55777211687897e-10,"Cationic antimicrobial peptide (CAMP) resistance"
"PhoPQ",18,"Up",2.56723021299751e-08,2.95231474494714e-07,3.24820474740234e-10,9.14800520696986e-10,"PhoPQ"
"path:sey00290",20,"Up",3.28785914179525e-08,3.49018893513649e-07,1.22121214544046e-09,2.67503612810768e-09,"Valine, leucine and isoleucine biosynthesis"
"path:sey01210",29,"Up",6.07729029691119e-08,5.99047186409817e-07,2.99944180344658e-09,6.18033020872493e-09,"2-Oxocarboxylic acid metabolism"
"CpxR",33,"Up",1.23488755239891e-07,1.136096548207e-06,5.72411470693806e-11,2.32331714575721e-10,"CpxR"
"path:sey00310",18,"Up",2.97857563611979e-07,2.4184674343479e-06,3.09864864243329e-13,5.34516890819742e-12,"Lysine degradation"
"ArcA",248,"Up",2.97927147709524e-07,2.4184674343479e-06,1.51002994706447e-12,1.89440120631725e-11,"ArcA"
"path:sey00660",16,"Up",7.2683451685164e-07,5.57239796252924e-06,4.27317923629376e-10,1.07217951747007e-09,"C5-Branched dibasic acid metabolism"
"path:sey03010",56,"Down",7.73319532170222e-07,5.61674186523635e-06,2.29446441641322e-07,3.16636089465025e-07,"Ribosome"
"path:sey00785",3,"Down",1.79526173446197e-06,1.18182139707321e-05,0.0331186185881501,0.0365629549213177,"Lipoic acid metabolism"
"path:sey00061",13,"Down",1.7984238651114e-06,1.18182139707321e-05,1.44501890841947e-08,2.52421024508718e-08,"Fatty acid biosynthesis"
"path:sey00380",8,"Up",2.18993732101474e-06,1.37368795590925e-05,1.32879244874846e-07,1.8904469889411e-07,"Tryptophan metabolism"
"path:sey00230",71,"Down",2.83499964420913e-06,1.70099978652548e-05,1.19948062449358e-09,2.66981171258249e-09,"Purine metabolism"
"path:sey00999",3,"Down",3.20271116346493e-06,1.84155891899233e-05,0.0235798728939682,0.0264554671493302,"Biosynthesis of various plant secondary metabolites; Including: Crocin biosynthesis, Cannabidiol biosynthesis, Mugineic acid biosynthesis, Pentagalloylglucose biosynthesis, Benzoxazinoid biosynthesis, Gramine biosynthesis, Coumarin biosynthesis, Furanocoumarin biosynthesis, Hordatine biosynthesis, Podophyllotoxin biosynthesis"
"path:sey00970",26,"Down",4.00617545356013e-06,2.21140885036519e-05,1.13097074805439e-07,1.64288382348953e-07,"Aminoacyl-tRNA biosynthesis"
"path:sey01212",20,"Down",5.54008422800416e-06,2.94050624409452e-05,4.3556586170814e-09,8.34834568273936e-09,"Fatty acid metabolism"
"path:sey00220",18,"Up",6.46773752274041e-06,3.26313593407166e-05,1.01613536874904e-09,2.33711134812278e-09,"Arginine biosynthesis"
"path:sey00281",5,"Up",6.62085551840626e-06,3.26313593407166e-05,0.000674989245090178,0.000831683176986112,"Geraniol degradation"
"path:sey01232",56,"Down",6.99805717776384e-06,3.33010996734969e-05,3.98547798101409e-08,6.470540722117e-08,"Nucleotide metabolism"
"path:sey02010",172,"Up",9.98392371173713e-06,4.59260490739908e-05,1.81466411404822e-12,1.91697942936056e-11,"ABC transporters"
"path:sey03060",18,"Down",1.71232112298189e-05,7.45366207980979e-05,5.87299978315036e-08,9.20993147812215e-08,"Protein export"
"path:sey00240",48,"Down",1.72838540981096e-05,7.45366207980979e-05,2.68654556877162e-08,4.41361057726767e-08,"Pyrimidine metabolism"
"path:sey00565",1,"Down",1.97054904040015e-05,8.24047780530974e-05,1.97054904040015e-05,2.49482355573598e-05,"Ether lipid metabolism"
"path:sey03030",21,"Down",2.26348242433679e-05,9.18707572230817e-05,1.31239037429077e-07,1.88656116304298e-07,"DNA replication"
"path:sey00460",8,"Down",2.67919182938232e-05,0.000105636706415646,8.13990926776327e-08,1.1950079563312e-07,"Cyanoamino acid metabolism"
"path:sey01501",20,"Up",2.82377957542331e-05,0.00010824488372456,4.13108594360055e-10,1.05662686543754e-09,"beta-Lactam resistance"
"path:sey03020",4,"Down",3.3109458377806e-05,0.000123489331246952,0.0209922398027819,0.023745320432655,"RNA polymerase"
"OmpR",27,"Up",3.76663418069553e-05,0.000136788293930522,5.84546857297471e-14,2.01668665767627e-12,"OmpR"
"path:sey00790",24,"Down",4.19314894965069e-05,0.000148372962833794,3.21039477677503e-09,6.51521292933757e-09,"Folate biosynthesis"
"path:sey00650",30,"Up",5.66360780016645e-05,0.000195394469105743,2.34327758054162e-10,7.1860512469943e-10,"Butanoate metabolism"
"path:sey01502",8,"Up",6.63117939309937e-05,0.000223195794206759,8.71363956606864e-09,1.58221350015457e-08,"Vancomycin resistance"
"path:sey00910",23,"Up",7.94956732526432e-05,0.000257139821264883,1.4187401179989e-14,1.95786136283848e-12,"Nitrogen metabolism"
"path:sey00900",14,"Down",8.0123277640507e-05,0.000257139821264883,5.73071471433617e-10,1.38743619399718e-09,"Terpenoid backbone biosynthesis"
"Lrp",145,"Up",8.75984874955092e-05,0.00027474071078137,6.17071678942273e-12,4.7832660196842e-11,"Lrp"
"path:sey00521",10,"Down",9.89206299146607e-05,0.00029228130533644,2.96359527799086e-06,3.85826555059187e-06,"Streptomycin biosynthesis"
"path:sey00903",2,"Up",9.9545082252266e-05,0.00029228130533644,0.372496237803647,0.377974123653701,"Limonene and pinene degradation"
"path:sey00930",2,"Up",9.9545082252266e-05,0.00029228130533644,0.372496237803647,0.377974123653701,"Caprolactam degradation"
"path:sey02040",45,"Down",0.000109603938281925,0.000310589434763922,6.90690966080167e-08,1.04742146504465e-07,"Flagellar assembly"
"path:sey04122",18,"Down",0.000110281755821972,0.000310589434763922,7.16050194475407e-08,1.07407529171311e-07,"Sulfur relay system"
"path:sey00470",16,"Up",0.000176370702846028,0.000485462790842182,8.82014348940856e-10,2.06301661277692e-09,"D-Amino acid metabolism"
"path:sey03250",1,"Up",0.00017941016183298,0.000485462790842182,0.00017941016183298,0.00022305047146803,"Viral life cycle - HIV-1"
"path:sey03430",27,"Down",0.000220503018755816,0.000585181088236588,7.9701367165203e-09,1.46650515583974e-08,"Mismatch repair"
"path:sey00552",3,"Up",0.000236797607728462,0.000616567355972223,0.0520987266220205,0.057060510109832,"Teichoic acid biosynthesis"
"path:sey00020",28,"Up",0.000253608445813347,0.000648110472634109,6.21987404207451e-07,8.41512370398316e-07,"Citrate cycle (TCA cycle)"
"path:sey00332",2,"Up",0.000278141522921505,0.000697882366603048,0.337895705106832,0.347982144065245,"Carbapenem biosynthesis"
"path:sey03070",40,"Down",0.000476633296048522,0.00117456062240529,3.70190742308658e-09,7.19525668149222e-09,"Bacterial secretion system"
"path:sey00670",12,"Down",0.000712228576241781,0.00171376942153363,1.49355768190225e-08,2.57638700128138e-08,"One carbon pool by folate"
"path:sey01240",156,"Down",0.000720279901803988,0.00171376942153363,8.53065775595564e-11,3.09797571137336e-10,"Biosynthesis of cofactors"
