"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"RcsB",26,"Up",1.06925932783106e-11,1.47557787240687e-09,4.76133947981314e-14,1.64266212053553e-12,"RcsB"
"path:sey00500",36,"Up",7.30310645594934e-11,3.88081693666701e-09,2.87513023972324e-13,4.4085330342423e-12,"Starch and sucrose metabolism"
"RpoS",64,"Up",8.43655855797176e-11,3.88081693666701e-09,7.02442525419411e-13,8.81246077344352e-12,"RpoS"
"path:sey02020",188,"Up",1.50633700991266e-10,5.19686268419869e-09,2.60269050299479e-15,1.79585644706641e-13,"Two-component system"
"path:sey00361",2,"Up",3.17568301182079e-10,6.80897799473814e-09,0.0799676844327833,0.0848887727055699,"Chlorocyclohexane and chlorobenzene degradation"
"path:sey00364",1,"Up",3.4538294176208e-10,6.80897799473814e-09,3.4538294176208e-10,8.07844846833339e-10,"Fluorobenzoate degradation"
"path:sey00623",1,"Up",3.4538294176208e-10,6.80897799473814e-09,3.4538294176208e-10,8.07844846833339e-10,"Toluene degradation"
"path:sey00633",8,"Up",4.82679645286628e-10,8.32622388119433e-09,1.92909965841382e-08,2.92544783363854e-08,"Nitrotoluene degradation"
"path:sey00290",20,"Up",2.14584316172511e-09,3.06140615888968e-08,3.25243645254836e-10,8.02667691300438e-10,"Valine, leucine and isoleucine biosynthesis"
"path:sey00440",3,"Up",2.21841026006499e-09,3.06140615888968e-08,0.00422161372583211,0.00493714147597314,"Phosphonate and phosphinate metabolism"
"path:sey00660",16,"Up",6.77486887422791e-09,8.49938095130411e-08,1.68420248918868e-10,4.8315813096302e-10,"C5-Branched dibasic acid metabolism"
"path:sey01210",29,"Up",7.9967684060755e-09,9.19628366698683e-08,8.78069586780576e-10,1.80856123844357e-09,"2-Oxocarboxylic acid metabolism"
"path:sey00310",18,"Up",3.33037280284435e-08,3.53531882148093e-07,2.68225612505419e-13,4.4085330342423e-12,"Lysine degradation"
"PmrAB",17,"Up",3.79739500551223e-08,3.74314650543348e-07,1.07110390503002e-09,2.11160484134489e-09,"PmrAB"
"path:sey00565",1,"Down",5.17207762255366e-08,4.68162335019259e-07,5.17207762255366e-08,7.13746711912405e-08,"Ether lipid metabolism"
"path:sey00380",8,"Up",5.42796910167257e-08,4.68162335019259e-07,1.79315219005521e-08,2.74950002475133e-08,"Tryptophan metabolism"
"path:sey03010",56,"Down",6.67044642855562e-08,5.41483298318044e-07,2.12272108237409e-08,3.11633520603856e-08,"Ribosome"
"PhoPQ",18,"Up",9.18272790140681e-08,7.04009139107855e-07,3.13060792122489e-10,8.00044246535249e-10,"PhoPQ"
"path:sey00061",13,"Down",1.06093317087031e-07,7.70572513579486e-07,1.4067050414225e-08,2.20596926950347e-08,"Fatty acid biosynthesis"
"path:sey00281",5,"Up",1.22164986419343e-07,8.42938406293469e-07,0.000163618054683204,0.0001980639609323,"Geraniol degradation"
"path:sey01503",36,"Up",1.46598624521346e-07,9.63362389711702e-07,2.90820331627924e-10,7.57230297446294e-10,"Cationic antimicrobial peptide (CAMP) resistance"
"CpxR",33,"Up",1.97859723111526e-07,1.24112008133594e-06,8.89932611178695e-12,4.38609644080928e-11,"CpxR"
"path:sey01232",56,"Down",2.2892928343872e-07,1.37357570063232e-06,4.36211785465923e-09,7.43175634497498e-09,"Nucleotide metabolism"
"path:sey00230",71,"Down",2.46115235874311e-07,1.40901289834236e-06,5.6825706333941e-10,1.23823514037387e-09,"Purine metabolism"
"path:sey03060",18,"Down",2.55255959844631e-07,1.40901289834236e-06,1.31471575674279e-08,2.10966016779657e-08,"Protein export"
"path:sey00970",26,"Down",4.29100264112696e-07,2.27753217105969e-06,2.42752167448604e-08,3.48956240707368e-08,"Aminoacyl-tRNA biosynthesis"
"path:sey00790",24,"Down",6.49073814170409e-07,3.31748838353765e-06,8.26802127049669e-10,1.72876808383113e-09,"Folate biosynthesis"
"path:sey03030",21,"Down",9.18131475642793e-07,4.52507655852519e-06,1.52253085212816e-08,2.36077817520995e-08,"DNA replication"
"path:sey03020",4,"Down",9.87994100106117e-07,4.57693397309421e-06,0.00898130173760719,0.0102431375189239,"RNA polymerase"
"path:sey01212",20,"Down",9.94985646324829e-07,4.57693397309421e-06,7.29639452891085e-09,1.2131354758912e-08,"Fatty acid metabolism"
"ArcA",248,"Up",1.07791431232861e-06,4.7984572613338e-06,8.47847531624968e-13,9.75024661368713e-12,"ArcA"
"path:sey00240",48,"Down",1.26567066811931e-06,5.45820475626452e-06,3.87478387532367e-09,6.76860980752742e-09,"Pyrimidine metabolism"
"path:sey00220",18,"Up",1.32413582126158e-06,5.53729525254843e-06,5.83226696552909e-10,1.23823514037387e-09,"Arginine biosynthesis"
"path:sey00650",30,"Up",2.00913240081532e-06,8.15471386213277e-06,5.78520703450554e-10,1.23823514037387e-09,"Butanoate metabolism"
"path:sey04122",18,"Down",2.29273385038031e-06,9.03992203864236e-06,2.16351415340186e-09,4.03466152931698e-09,"Sulfur relay system"
"path:sey00785",3,"Down",2.38649503620722e-06,9.14823097212768e-06,0.0371120364036039,0.04064651606109,"Lipoic acid metabolism"
