"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:sey02020",189,"Up",1.30461012274158e-10,1.78731586815597e-08,6.22723705083256e-15,5.51549956160383e-13,"Two-component system"
"path:sey00290",20,"Up",3.76351537416091e-10,2.57800803130023e-08,7.74275058905834e-11,3.42179622806772e-10,"Valine, leucine and isoleucine biosynthesis"
"path:sey00633",8,"Up",6.07928277544946e-10,2.77620580078859e-08,2.93393214685289e-07,4.06008792039239e-07,"Nitrotoluene degradation"
"path:sey00660",16,"Up",2.11221463816857e-09,7.23433513572736e-08,7.30721511896365e-11,3.3369615709934e-10,"C5-Branched dibasic acid metabolism"
"path:sey01210",29,"Up",1.01211894447006e-08,2.67821273644822e-07,1.69562596919051e-10,5.95642968664358e-10,"2-Oxocarboxylic acid metabolism"
"path:sey00440",3,"Up",1.17293988457586e-08,2.67821273644822e-07,0.00505905192651409,0.00602687055593418,"Phosphonate and phosphinate metabolism"
"PhoPQ",18,"Up",4.05179646712116e-08,7.92994451422284e-07,5.1121457019204e-10,1.40072792232619e-09,"PhoPQ"
"path:sey00565",1,"Down",9.25160271004551e-08,1.46712126487746e-06,9.25160271004551e-08,1.36287050674864e-07,"Ether lipid metabolism"
"path:sey00364",1,"Up",1.07089143421713e-07,1.46712126487746e-06,1.07089143421713e-07,1.54433817355522e-07,"Fluorobenzoate degradation"
"path:sey00623",1,"Up",1.07089143421713e-07,1.46712126487746e-06,1.07089143421713e-07,1.54433817355522e-07,"Toluene degradation"
"ArcA",248,"Up",1.30997441223408e-07,1.51830323820698e-06,3.65762757985972e-13,1.00218995688156e-11,"ArcA"
"path:sey00785",3,"Down",1.40861791948421e-07,1.51830323820698e-06,0.0191696134414617,0.0217044383593409,"Lipoic acid metabolism"
"path:sey00361",2,"Up",1.44072570048838e-07,1.51830323820698e-06,0.145740078709648,0.152415196818487,"Chlorocyclohexane and chlorobenzene degradation"
"CpxR",33,"Up",2.27082715981854e-07,2.22216657782243e-06,1.6765299696034e-11,9.57019190981941e-11,"CpxR"
"path:sey00230",71,"Down",3.34035692127528e-07,2.86719944197671e-06,9.76277079813268e-10,2.46486107970511e-09,"Purine metabolism"
"path:sey00500",36,"Up",3.34855409281951e-07,2.86719944197671e-06,1.38181914128491e-11,8.60496465254694e-11,"Starch and sucrose metabolism"
"RpoS",64,"Up",4.43490255073175e-07,3.57400970264853e-06,4.92198709518896e-11,2.4082579715746e-10,"RpoS"
"path:sey00970",26,"Down",1.13984070626183e-06,8.67545426432617e-06,6.6810318880595e-08,9.94892792026251e-08,"Aminoacyl-tRNA biosynthesis"
"path:sey00061",13,"Down",1.24033924080167e-06,8.9434987363068e-06,1.20650894061329e-07,1.72178880066689e-07,"Fatty acid biosynthesis"
"PmrAB",17,"Up",1.63453350046855e-06,1.11965544782096e-05,5.04113919454585e-09,9.7272685866589e-09,"PmrAB"
"path:sey00310",18,"Up",1.78649188887817e-06,1.12966409532123e-05,8.37826071734239e-13,1.63974531182273e-11,"Lysine degradation"
"path:sey01232",56,"Down",1.81405913117278e-06,1.12966409532123e-05,2.94757087477359e-08,4.64157712464347e-08,"Nucleotide metabolism"
"RcsB",26,"Up",2.15767846655888e-06,1.28522586921116e-05,3.54890429410299e-14,1.21549972073027e-12,"RcsB"
"OmpR",27,"Up",2.31780154723024e-06,1.30015773213813e-05,1.51268558995356e-12,1.933357275933e-11,"OmpR"
"path:sey03060",18,"Down",2.37255060609148e-06,1.30015773213813e-05,3.32298213297478e-08,5.05831724686161e-08,"Protein export"
"path:sey00790",24,"Down",2.78978796549244e-06,1.47000365874025e-05,7.46067767095313e-10,1.92851479418977e-09,"Folate biosynthesis"
"path:sey01503",36,"Up",3.29794505472614e-06,1.67340174999067e-05,5.98229911701798e-11,2.82612061734987e-10,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey04122",18,"Down",3.45047440722632e-06,1.68250745475823e-05,3.08304830430642e-09,6.3996608740906e-09,"Sulfur relay system"
"path:sey00650",30,"Up",3.56151213051012e-06,1.68250745475823e-05,1.01153325585618e-10,3.95943017292277e-10,"Butanoate metabolism"
"path:sey00240",48,"Down",5.24731129587073e-06,2.39469347453161e-05,4.12014849310283e-08,6.20286091818778e-08,"Pyrimidine metabolism"
"path:sey00281",5,"Up",5.41864946791824e-06,2.39469347453161e-05,0.0017413348906756,0.00211117592940316,"Geraniol degradation"
"path:sey03010",56,"Down",1.02397872742846e-05,4.29315185352928e-05,1.4516449892302e-06,1.93082877208288e-06,"Ribosome"
"path:sey03030",21,"Down",1.03411686982822e-05,4.29315185352928e-05,1.61362525979651e-07,2.27903773806311e-07,"DNA replication"
"path:sey00521",10,"Down",1.42811941243601e-05,5.75448116187453e-05,1.84550680149876e-06,2.40794696957457e-06,"Streptomycin biosynthesis"
"path:sey01212",20,"Down",2.08658965327645e-05,8.16750807139639e-05,3.31845069675251e-08,5.05831724686161e-08,"Fatty acid metabolism"
"path:sey00280",10,"Up",2.84798972239649e-05,0.000108381831102311,1.33206944900651e-08,2.33966044248579e-08,"Valine, leucine and isoleucine degradation"
"path:sey01240",156,"Down",3.36793179168317e-05,0.000117817311626179,3.41472167533121e-10,9.97470985319677e-10,"Biosynthesis of cofactors"
"path:sey00770",25,"Up",3.3922611227746e-05,0.000117817311626179,1.95835627972343e-12,2.23579008601759e-11,"Pantothenate and CoA biosynthesis"
"path:sey00903",2,"Up",3.57536021668037e-05,0.000117817311626179,0.300752674692757,0.307485943529162,"Limonene and pinene degradation"
"path:sey00930",2,"Up",3.57536021668037e-05,0.000117817311626179,0.300752674692757,0.307485943529162,"Caprolactam degradation"
"path:sey00380",8,"Up",3.58177771338057e-05,0.000117817311626179,1.08569796471198e-05,1.36459285472974e-05,"Tryptophan metabolism"
"path:sey00220",18,"Up",3.61191758270037e-05,0.000117817311626179,5.86741976273701e-10,1.57615001469602e-09,"Arginine biosynthesis"
"path:sey03440",31,"Down",3.74223014252467e-05,0.000119229192912995,6.19714033510233e-09,1.16302496699866e-08,"Homologous recombination"
"path:sey00999",3,"Down",4.04642354177162e-05,0.000125189243993018,0.0477983789518303,0.0515620308378012,"Biosynthesis of various plant secondary metabolites; Including: Crocin biosynthesis, Cannabidiol biosynthesis, Mugineic acid biosynthesis, Pentagalloylglucose biosynthesis, Benzoxazinoid biosynthesis, Gramine biosynthesis, Coumarin biosynthesis, Furanocoumarin biosynthesis, Hordatine biosynthesis, Podophyllotoxin biosynthesis"
