"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:sey00633",8,"Up",9.49717362211703e-11,8.05249971901716e-09,1.41649732936916e-08,2.18173151879847e-08,"Nitrotoluene degradation"
"path:sey02020",188,"Up",1.20186562970405e-10,8.05249971901716e-09,1.40850908105427e-14,9.4370108430636e-13,"Two-component system"
"path:sey00290",20,"Up",3.51587577940059e-10,1.57042451479893e-08,1.36630302250788e-10,4.04164559518346e-10,"Valine, leucine and isoleucine biosynthesis"
"path:sey00364",1,"Up",1.09736786085662e-09,2.85844243110431e-08,1.09736786085662e-09,2.04232351881648e-09,"Fluorobenzoate degradation"
"path:sey00623",1,"Up",1.09736786085662e-09,2.85844243110431e-08,1.09736786085662e-09,2.04232351881648e-09,"Toluene degradation"
"path:sey01210",29,"Up",1.27989959601685e-09,2.85844243110431e-08,3.77438651472477e-10,8.7201343616055e-10,"2-Oxocarboxylic acid metabolism"
"path:sey00500",36,"Up",2.27195162296227e-09,4.04428186342168e-08,3.42432729547462e-12,2.23699115234872e-11,"Starch and sucrose metabolism"
"path:sey00660",16,"Up",2.41449663487862e-09,4.04428186342168e-08,1.27737800052854e-10,3.89019663797329e-10,"C5-Branched dibasic acid metabolism"
"path:sey00440",3,"Up",3.56875827381325e-09,5.05323488665617e-08,0.00372978980815081,0.00434601595036704,"Phosphonate and phosphinate metabolism"
"path:sey00361",2,"Up",3.77107081093744e-09,5.05323488665617e-08,0.0927688055372158,0.100250160822475,"Chlorocyclohexane and chlorobenzene degradation"
"PmrAB",17,"Up",8.40992545703255e-09,1.02448182840215e-07,2.83349164410329e-10,6.90341600563348e-10,"PmrAB"
"path:sey01503",36,"Up",1.34248083608272e-08,1.32671659861966e-07,7.87656035764589e-11,2.51299782839178e-10,"Cationic antimicrobial peptide (CAMP) resistance"
"RpoS",64,"Up",1.38281648681278e-08,1.32671659861966e-07,3.72539695818126e-11,1.4682446835185e-10,"RpoS"
"CpxR",33,"Up",1.38612181945337e-08,1.32671659861966e-07,4.4469732151951e-12,2.47481344825447e-11,"CpxR"
"PhoPQ",18,"Up",1.48971329628535e-08,1.33081054468158e-07,1.7706959450251e-10,4.65241679673261e-10,"PhoPQ"
"path:sey03010",56,"Down",1.6720440667843e-07,1.40033690593185e-06,4.90791665836237e-08,6.99639183213359e-08,"Ribosome"
"path:sey00565",1,"Down",1.83861026826702e-07,1.44925750557518e-06,1.83861026826702e-07,2.46373775947781e-07,"Ether lipid metabolism"
"path:sey00380",8,"Up",3.53919746540938e-07,2.63473589091587e-06,6.07065350182403e-08,8.47362051296271e-08,"Tryptophan metabolism"
"path:sey00061",13,"Down",4.30860064906251e-07,2.89031862081596e-06,2.9615507066017e-08,4.36096477675416e-08,"Fatty acid biosynthesis"
"path:sey00220",18,"Up",4.31390838927755e-07,2.89031862081596e-06,4.40587028449048e-10,1.00065528495208e-09,"Arginine biosynthesis"
"RcsB",26,"Up",5.003570997571e-07,3.1927548270215e-06,4.88996054460502e-13,6.9579559066798e-12,"RcsB"
"path:sey00310",15,"Up",5.40727781319137e-07,3.29352375894383e-06,1.02720427957451e-12,1.05881056509988e-11,"Lysine degradation"
"ArcA",248,"Up",1.34149463836527e-06,7.81566441482372e-06,7.6416840839348e-13,9.19461905667719e-12,"ArcA"
"path:sey00650",30,"Up",1.76227472967298e-06,9.6110503555465e-06,5.21878031782741e-10,1.14564096475804e-09,"Butanoate metabolism"
"path:sey00230",70,"Down",1.79310640961688e-06,9.6110503555465e-06,4.81345462402614e-10,1.0750048660325e-09,"Purine metabolism"
"path:sey03060",18,"Down",1.88875224371041e-06,9.7343384868152e-06,1.14950059680375e-08,1.83372714252026e-08,"Protein export"
"path:sey01212",20,"Down",2.00807287556464e-06,9.96599130835783e-06,1.26649995775762e-08,1.99659993340613e-08,"Fatty acid metabolism"
"path:sey03030",21,"Down",2.21628478425573e-06,1.06065057532239e-05,3.21290135037675e-08,4.67966066250527e-08,"DNA replication"
"path:sey03020",4,"Down",2.74526523399633e-06,1.26850186674313e-05,0.0115695634209889,0.0131383177831569,"RNA polymerase"
"path:sey00281",5,"Up",3.24541026455745e-06,1.44961658483566e-05,0.000591056455490097,0.000713527612933991,"Geraniol degradation"
"path:sey00970",26,"Down",6.42877371296243e-06,2.67969515894393e-05,3.03508776603353e-07,4.02675010543062e-07,"Aminoacyl-tRNA biosynthesis"
"path:sey00903",2,"Up",6.5992492720261e-06,2.67969515894393e-05,0.259078753656294,0.267050407614949,"Limonene and pinene degradation"
"path:sey00930",2,"Up",6.5992492720261e-06,2.67969515894393e-05,0.259078753656294,0.267050407614949,"Caprolactam degradation"
"path:sey00521",10,"Down",9.52612245506774e-06,3.75441296758552e-05,1.11867268065035e-06,1.45536057482667e-06,"Streptomycin biosynthesis"
"path:sey00730",14,"Down",1.0654598987348e-05,4.07918932658465e-05,1.5626027067678e-08,2.37941775803279e-08,"Thiamine metabolism"
