"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PhoPQ",18,"Up",2.74832360885719e-07,3.79268658022292e-05,7.13697210716771e-09,4.28218326430063e-08,"PhoPQ"
"PmrAB",17,"Up",4.68458212383121e-06,0.000323236166544354,1.07520619081977e-07,5.93513817332511e-07,"PmrAB"
"path:sey02020",188,"Up",1.3338271661989e-05,0.000613560496451495,8.11845869766411e-15,2.80086825069412e-13,"Two-component system"
"path:sey01503",36,"Up",0.000127982720001923,0.00441540384006636,2.76706732813933e-10,2.24033626158603e-09,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey00290",20,"Up",0.000602088578060645,0.0166176447544738,4.63739965832295e-05,0.00017776698690238,"Valine, leucine and isoleucine biosynthesis"
"path:sey00660",16,"Up",0.00103277282292109,0.0226317105820883,0.00103361984198582,0.00324180768622826,"C5-Branched dibasic acid metabolism"
"path:sey00440",3,"Up",0.00114798531938129,0.0226317105820883,0.250152107571096,0.359593654633451,"Phosphonate and phosphinate metabolism"
"path:sey01210",29,"Up",0.00176290212115119,0.030410061589858,8.01500625937213e-06,3.56797052836566e-05,"2-Oxocarboxylic acid metabolism"
"path:sey04122",18,"Down",0.00218759908045212,0.0335431859002659,0.151782689515295,0.240758748886329,"Sulfur relay system"
"path:sey00740",17,"Up",0.00731087370258279,0.100890057095642,1.2487727441915e-10,1.34031552528984e-09,"Riboflavin metabolism"
"SlyA",8,"Up",0.00998442364691801,0.125259133024971,3.21270211738482e-06,1.47784297399702e-05,"SlyA"
"path:sey00785",3,"Down",0.0180294651023312,0.173749910341564,0.893935136021872,0.983645468139588,"Lipoic acid metabolism"
"path:sey00460",8,"Down",0.0192861454255441,0.173749910341564,0.000946756869604544,0.00311077257155779,"Cyanoamino acid metabolism"
"path:sey00552",3,"Up",0.0195622634293148,0.173749910341564,0.326301363924062,0.441466551191379,"Teichoic acid biosynthesis"
"path:sey01212",20,"Down",0.0196495901297408,0.173749910341564,0.0205291548103168,0.0435849748280571,"Fatty acid metabolism"
"path:sey00240",48,"Down",0.0201449171410509,0.173749910341564,0.00411864574515687,0.0105254280154009,"Pyrimidine metabolism"
"path:sey00561",12,"Down",0.0215086828359209,0.174599895962181,0.0212989016778056,0.0438693795751817,"Glycerolipid metabolism"
"path:sey00670",12,"Down",0.0267518682111736,0.195435312287098,0.00577273910811023,0.0142256785164145,"One carbon pool by folate"
"path:sey00633",8,"Up",0.0269077603873541,0.195435312287098,0.00775336613712194,0.0178327421153805,"Nitrotoluene degradation"
"path:sey02040",45,"Down",0.0298630263390363,0.20605488173935,0.013973381967173,0.031102043733385,"Flagellar assembly"
"path:sey00230",71,"Down",0.0314057023823053,0.206380329940863,0.0006424382450533,0.00216235311749647,"Purine metabolism"
"path:sey00565",1,"Down",0.0346688331061628,0.217468134938658,0.0346688331061628,0.0683471281235781,"Ether lipid metabolism"
