"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PhoPQ",18,"Up",1.91879636826515e-08,2.64793898820591e-06,8.50491554549194e-10,5.10294932729516e-09,"PhoPQ"
"path:sey02020",188,"Up",3.82136196297834e-07,2.33397184671165e-05,1.51519316590503e-11,1.39397771263263e-10,"Two-component system"
"PmrAB",17,"Up",5.07385184067749e-07,2.33397184671165e-05,1.43139893650782e-08,5.98585009812359e-08,"PmrAB"
"path:sey01503",36,"Up",8.30377692930457e-07,2.86480304061008e-05,3.17377195637011e-09,1.5642161784967e-08,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey00552",3,"Up",0.000180300494925663,0.00497629365994831,0.117457918536655,0.160487057010479,"Teichoic acid biosynthesis"
"path:sey00290",20,"Up",0.000218243122465731,0.00501959181671182,3.90034653003723e-07,1.25173911894218e-06,"Valine, leucine and isoleucine biosynthesis"
"path:sey00660",16,"Up",0.000290667611248002,0.00573030433603205,2.91584064603419e-06,8.56140445005783e-06,"C5-Branched dibasic acid metabolism"
"path:sey01210",29,"Up",0.000680522444753181,0.0117390121719924,2.34252778075762e-07,7.88460570108661e-07,"2-Oxocarboxylic acid metabolism"
"path:sey00440",3,"Up",0.000883035188412677,0.0135398728889944,0.104751972130807,0.14716466557135,"Phosphonate and phosphinate metabolism"
"SlyA",8,"Up",0.00101765115854859,0.0140435859879706,1.92369350278337e-06,5.7710805083501e-06,"SlyA"
"path:sey00740",17,"Up",0.00360083347592174,0.0451740926979273,2.972068815218e-11,2.51912994774732e-10,"Riboflavin metabolism"
"path:sey00380",8,"Up",0.00486890081457002,0.0559923593675552,0.0242768107207647,0.0413604923390806,"Tryptophan metabolism"
"path:sey00071",13,"Down",0.00697521407558452,0.0740445801869741,6.30304699871631e-13,1.08727560727856e-11,"Fatty acid degradation"
"path:sey00520",53,"Up",0.00768973984667651,0.0757559809830021,6.23141377540692e-10,3.90879591366434e-09,"Amino sugar and nucleotide sugar metabolism"
"path:sey00540",40,"Up",0.00823434575902197,0.0757559809830021,1.22123843478827e-10,8.42654520003909e-10,"Lipopolysaccharide biosynthesis"
"path:sey00620",62,"Up",0.0101637129957443,0.0876620245882946,0.0178025323420475,0.0319058371844488,"Pyruvate metabolism"
"path:sey00130",21,"Down",0.0118190358652482,0.0923321057657969,4.73302770421745e-05,0.000120955152441112,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:sey00633",8,"Up",0.0123796784983615,0.0923321057657969,0.000189839295768029,0.000436630380266466,"Nitrotoluene degradation"
"path:sey00250",33,"Down",0.0127123913735517,0.0923321057657969,1.95266609254509e-07,6.73669801928055e-07,"Alanine, aspartate and glutamate metabolism"
"path:sey02040",45,"Down",0.0160278162503573,0.107951639464186,0.00142630354456239,0.00298227104772136,"Flagellar assembly"
