"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PhoPQ",18,"Up",2.03319741594659e-07,2.78548045984682e-05,1.21188047977525e-08,4.8831654626238e-08,"PhoPQ"
"path:sey01212",20,"Down",3.80289961033729e-06,0.000260498623308104,2.40953695087277e-12,2.53928124822746e-11,"Fatty acid metabolism"
"path:sey02020",189,"Up",6.92384105137979e-06,0.000296040537497117,1.82705252640089e-13,3.03486672407723e-12,"Two-component system"
"PmrAB",17,"Up",8.64351934298153e-06,0.000296040537497117,1.22544612977314e-07,4.53746269672758e-07,"PmrAB"
"path:sey00061",13,"Down",2.52375780233237e-05,0.00069150963783907,4.88035532820495e-11,2.90699426071338e-10,"Fatty acid biosynthesis"
"path:sey01503",36,"Up",5.52019839863308e-05,0.00126044530102122,2.31161692993937e-08,9.04832912576269e-08,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey00780",14,"Down",0.000138442184921082,0.00270951133345546,4.86506423119364e-12,3.92066940984429e-11,"Biotin metabolism"
"path:sey00260",37,"Down",0.000217115268399109,0.00371809897133474,4.45844805948108e-13,5.09006153457424e-12,"Glycine, serine and threonine metabolism"
"path:sey00552",3,"Up",0.00105007742222155,0.0147531207364443,0.111275493510482,0.165664566654831,"Teichoic acid biosynthesis"
"path:sey00270",37,"Down",0.00107687012674776,0.0147531207364443,3.21061587650185e-06,1.04727232162084e-05,"Cysteine and methionine metabolism"
"path:sey04122",18,"Down",0.00135910525650979,0.0169270381947128,5.57397339675102e-05,0.000159090490698935,"Sulfur relay system"
"path:sey00440",3,"Up",0.00167497593103478,0.0191226418793137,0.226009389926434,0.29772390788386,"Phosphonate and phosphinate metabolism"
"path:sey00450",15,"Down",0.00297674176752005,0.0313702786269421,0.00122471781175091,0.00270623129370767,"Selenocompound metabolism"
"path:sey00680",31,"Down",0.00368687973984704,0.0360787517399317,4.34864178869942e-14,9.92939875086366e-13,"Methane metabolism"
"path:sey00250",33,"Down",0.0042518333409146,0.0388334111803534,7.25120147194421e-09,3.03517229816752e-08,"Alanine, aspartate and glutamate metabolism"
"path:sey00340",12,"Down",0.00473468217049082,0.039670990510495,0.0050563450058102,0.00975660937740841,"Histidine metabolism"
"path:sey00010",44,"Down",0.00492267765458697,0.039670990510495,2.93126617748866e-14,8.03166932631893e-13,"Glycolysis / Gluconeogenesis"
