nr,beta_WT,beta05_WT,beta95_WT,hl_WT,hl05_WT,hl95_WT,gamma,gamma05,gamma95,pib_WT,pib05_WT,pib95_WT,delta_1,delta05_1,delta95_1,p_value_1,beta_1,beta05_1,beta95_1,hl_1,hl05_1,hl95_1,delta_hl_1,delta_hl05_1,delta_hl95_1,p_hl_1,ratio_hl_1,pib_1,pib05_1,pib95_1,p_pib_1,delta_2,delta05_2,delta95_2,p_value_2,beta_2,beta05_2,beta95_2,hl_2,hl05_2,hl95_2,delta_hl_2,delta_hl05_2,delta_hl95_2,p_hl_2,ratio_hl_2,pib_2,pib05_2,pib95_2,p_pib_2,delta_3,delta05_3,delta95_3,p_value_3,beta_3,beta05_3,beta95_3,hl_3,hl05_3,hl95_3,delta_hl_3,delta_hl05_3,delta_hl95_3,p_hl_3,ratio_hl_3,pib_3,pib05_3,pib95_3,p_pib_3,sigma_g1,sigma_g2,sigma_g3,sigma_g4,sigma_g5,sigma_g6,sigma_g7,sigma_g8,sigma_g9,gene,com_id,ltag
1,0.234992,0.14879585,0.39971605,2.94966329817217,1.73409903617707,4.65837710760566,1.32463,0.25810425,2.4402795,0.193085,0.12631165,0.2519384,-0.0980627,-0.2337534,0.03857875,0.149,0.1324959,0.069153515,0.303125426,5.23146502016947,2.28666794811343,10.0233109543059,2.25985435671096,-0.425143260822704,6.66898317434198,0.106,0.512539880366924,0.2091415,0.03042291,0.3574595,0.435,0.0107497,-0.12977865,0.21217305,0.5385,0.246131935,0.1274542125,0.52508315,2.81616117572258,1.32007127019926,5.43840210613403,-0.127611475909593,-1.75415658399504,2.2265637468824,0.464,-0.078455540688817,0.2255045,0.12061665,0.32302495,0.3195,-0.05933865,-0.21168005,0.11344505,0.321,0.1681361,0.105187585,0.3810515675,4.12253638672713,1.81904166779862,6.58963005090766,1.11234470436013,-1.2755274488169,3.75519193932383,0.257,0.420888763317188,0.150133,0.0247169,0.28648185,0.31,0.27374,0.4670445,0.3108545,0.6529285,0.512911,0.4843675,0.5012205,0.2963735,0.520744,ncRNA0002,ArcZ,ArcZ
2,0.0709663,0.01634245,0.335881,9.68757837841964,2.00401251899373,40.8649266170313,2.87365,0.2450179,10.63346,0.3575395,0.05204455,0.6650383,-0.05663445,-0.29100235,0.043716595,0.2315,0.0113787,-0.023367415,0.20424742,17.9636309528891,-205.579387106083,258.936530670182,5.99518588307613,-228.391703080454,241.855848361709,0.4185,0.025418337335584,0.2355345,0.020865835,0.6769755,0.372,0.02786165,-0.1683826,0.2799886,0.451,0.1041208,0.03502997,0.42425275,6.65452764533536,1.62853101806525,19.7637499331262,-2.18954213217372,-32.8347219539671,11.2608673590523,0.3595,-0.071448173739109,0.289998,0.04091257,0.5408264,0.384,0.0211134,-0.17403035,0.2277742,0.496,0.0963149,0.0278003055,0.38475605,7.1423826405452,1.77046746403297,24.3657611110172,-1.67412027285503,-32.5744978846003,14.2659614981087,0.392,-0.054177987527851,0.2335865,0.02520534,0.51505645,0.3245,0.4988205,0.4238115,0.6662675,0.680982,0.7894235,0.506387,0.6810785,0.4951965,0.7326505,ncRNA0003,ChiX,ChiX
3,1.281875,1.125538,1.461826,0.54072915209047,0.474165311590979,0.615836320587603,0.1096875,0.0074103845,0.41303525,0.0127656,0.010463965,0.01556893,-0.0342149,-0.2550036,0.2192903,0.452,1.25045905,1.032619115,1.50945575,0.554314191734634,0.459203385162875,0.671251582569353,0.015246267680251,-0.083035056367187,0.121080222527026,0.7185,0.144058376182994,0.0137662,0.01071824,0.017133175,0.3545,0.003983325,-0.2385986,0.27691865,0.5475,1.2798138,1.01997445,1.61336425,0.541600020753438,0.429628450515201,0.679573115023342,-0.001629976141856,-0.098851176415889,0.122090392526767,0.7805,-0.016765645119193,0.03928375,0.03205495,0.04815557,0,-0.2503445,-0.49927145,-0.0077520835,0.063,1.026501,0.7770714,1.31235083,0.675252318935434,0.528172505731166,0.891999346834793,0.130583569642014,0.002973866210489,0.34040607149754,0.1535,0.622352552692024,0.00987465,0.006849376,0.01446583,0.1755,0.419441,0.534442,0.6364265,0.8571155,0.5787515,0.431801,0.4581435,0.5616995,0.6294315,ncRNA0004,CrpT,CrpT
4,0.5728675,0.4420854,0.8495686,1.20996073799594,0.815881355176363,1.56790356789211,4.21294,3.6023795,4.8639165,0.04608335,0.036259475,0.05836416,0.02335295,-0.1307032,0.18809395,0.478,0.591888145,0.465114715,0.90355585,1.17107807295423,0.76713263554389,1.4902714534105,-0.050044046758229,-0.324295340514507,0.241986479917206,0.5,-0.182475152889168,0.0322861,0.024896995,0.040938565,0.0265,-0.04861875,-0.2175175,0.20962705,0.397,0.50680926,0.36058978,0.96275635,1.3676687467065,0.719963140059531,1.92225963993025,0.120100202497165,-0.289784968607268,0.62948170218659,0.407,0.235776530106396,0.06013775,0.04323203,0.08555349,0.099,0.1137,-0.075745175,0.29950575,0.196,0.7029375,0.52291839,0.942143835,0.986072299131736,0.735712725495882,1.32553616954313,-0.195130707609214,-0.524088927738189,0.106356631560883,0.2195,-0.593177782676198,0.02962005,0.018293025,0.048393255,0.099,0.211088,0.4268645,0.466964,0.641646,0.393207,0.4501935,0.340212,0.509424,0.3614945,ncRNA0005,crRNA1,crRNA1
5,0.7620795,0.66055045,0.8867375,0.909547075551344,0.781682500503406,1.04934783026763,1.30765,0.96702245,1.588359,0.020927,0.01802596,0.02471474,0.0220981,-0.092046005,0.1394374,0.491,0.78481178,0.66166145,0.94298725,0.883201811479826,0.735054741681887,1.04758589669902,-0.024865668565046,-0.151007827382057,0.114939504557388,0.6175,-0.197124171634933,0.020929,0.01749294,0.02565395,0.5035,-0.1377355,-0.25811455,-0.015121555,0.0585,0.6213633,0.50435985,0.77316186,1.11552646416321,0.896509795080251,1.3743108250901,0.204404565558234,0.018287372232551,0.417951259120542,0.087,0.957189091286933,0.0556091,0.04676083,0.06791174,0,-0.1536905,-0.29537885,0.02364689,0.0985,0.605652,0.47954815,0.79925511,1.14446446387448,0.867241487117744,1.44541727855125,0.233843895080481,-0.033101349317815,0.519680485502373,0.135,0.818103430128835,0.04380155,0.03105103,0.06005275,0.0025,0.491166,0.3539855,0.2989205,0.6252755,0.4395085,0.3022155,0.3526465,0.403792,0.271507,ncRNA0006,crRNA2,crRNA2
6,0.489937,0.42411585,0.570459,1.41476799398743,1.21506923477483,1.63433453812476,1.21784,0.7386887,1.604672,0.01791425,0.014794995,0.02168329,0.2332945,0.13091835,0.34096745,0,0.7221265,0.6136405,0.85656185,0.959869473781965,0.809220236311679,1.12956562209319,-0.456228373270784,-0.648164188177012,-0.263255901018783,0,-2.37698406362396,0.01258875,0.0106457,0.01499579,0.0215,-0.07692215,-0.1719569,0.022643465,0.15,0.40779615,0.3290923,0.523558985,1.69973944323535,1.32391421421898,2.10623946463787,0.274240705383554,-0.068235583599831,0.670409511228983,0.1385,0.692231950969286,0.0453264,0.0355994,0.057364175,0,-0.19536,-0.29722905,-0.063988605,0.018,0.2949345,0.21818805,0.41711522,2.35017336698712,1.66176434763938,3.17683439669942,0.946189956009503,0.236024863014518,1.74324237373441,0.0165,1.18711133040696,0.04090545,0.010806055,0.076168745,0.113,0.2245825,0.354774,0.3897525,0.702753,0.471622,0.438984,0.3770875,0.370224,0.320162,ncRNA0007,CsrB,CsrB
7,0.321358,0.2755534,0.37389035,2.15693150948234,1.85387829009553,2.51547325534405,1.11255,0.5466209,1.5971535,0.05020745,0.039188205,0.065486575,0.1053065,0.03002841,0.1919616,0.0305,0.42620765,0.3394583154,0.533511,1.62631332597149,1.2992181784901,2.04192148866212,-0.529122188282152,-0.871689308530812,-0.180485568791907,0.015,-1.54457960792641,0.04455045,0.03522445,0.05628225,0.265,-0.08628705,-0.14729685,-0.01232282,0.07,0.235245,0.18582585,0.315652992015,2.94649060495898,2.19591513180556,3.73009019234152,0.796927135764342,0.084996722097459,1.53072697459088,0.042,1.08602795148981,0.092722,0.066667875,0.130901,0.008,-0.101803,-0.1647043,0.03087165,0.1065,0.219835,0.16464445,0.3432188255,3.15303384892841,2.01954907202315,4.20996438016589,1.02177559073959,-0.203110692623735,1.96195624970334,0.0915,1.08678643939111,0.107217,0.03360698,0.21482825,0.116,0.306988,0.2856505,0.3003485,0.571895,0.3784585,0.140509,0.3414695,0.368953,0.34687,ncRNA0008,CsrC,CsrC
8,0.2253045,0.11884575,0.3968052,3.07649071307882,1.74682001938691,5.8323268644617,0.9913755,0.1199209,2.3349275,0.2739705,0.1503963,0.3664301,-0.0836977,-0.24483705,0.1183539,0.244,0.1272085,0.05830625,0.3861464,5.44890794018165,1.7950372767156,11.8880425810187,2.14491746944179,-1.33740689393772,8.41409336728024,0.198,0.342137069432257,0.2767895,0.05159666,0.45356105,0.479,-0.0159946,-0.19797435,0.2416213,0.5135,0.2000285,0.07653,0.49558946,3.46524411994017,1.39863248532978,9.05719705898259,0.225877386818761,-2.53113874926255,5.59451027160267,0.4595,0.042073539328598,0.300435,0.1054811,0.43975475,0.4085,-0.0547771,-0.2129471,0.1053864,0.346,0.16182749,0.0975003,0.339596875,4.28324758151811,2.04109637366946,7.10918001857363,1.01533232704257,-1.86622185700059,3.89885107106267,0.2825,0.352115736770636,0.134974,0.017346755,0.30882715,0.1255,0.366959,0.5175525,0.491919,0.7058445,0.5929485,0.507234,0.5093785,0.558317,0.56783,ncRNA0009,CyaR,CyaR
9,0.2362,0.1303426,0.546315,2.93457740472088,1.26876834968295,5.3178869559122,2.75386,0.6337726,4.869676,0.135912,0.03590808,0.2250061,-0.0327062,-0.2244406,0.1576843,0.438,0.2014007035,0.096022495,0.50946279,3.44163237029619,1.36054542676729,7.21859523585966,0.474279572829897,-1.61372133751325,3.84950957330659,0.3665,0.140517704797277,0.16373,0.051537425,0.3035936,0.347,0.0437184,-0.16047285,0.30006985,0.4265,0.2834141,0.1138208,0.672377845,2.44570466029989,1.03089140665795,6.08982295311687,-0.365485124428811,-2.48131545510123,2.60489651628678,0.38,-0.172738389808723,0.228435,0.094016895,0.35878765,0.1435,-0.03011935,-0.2132772,0.1524112,0.452,0.20059025,0.10824436,0.51445025,3.45553909428452,1.34735568523088,6.40354106928089,0.403050993359498,-1.72463160162646,3.18304316439422,0.373,0.144982780008866,0.136766,0.0186698,0.288045,0.4805,0.5622435,0.6358485,0.5918185,0.5604125,0.809932,0.5774335,0.70445,0.550458,0.8600345,ncRNA0010,DapZ,DapZ
10,0.124764,0.031424705,0.4682884,5.54952827464689,1.47053244577217,22.0143520297828,4.53669,0.68376065,10.751055,0.4021635,0.068196615,0.6216535,-0.0765973,-0.30171745,0.10942395,0.239,0.02747635,-0.012187955,0.4413687,15.7349279967593,-118.146591436787,152.057186432075,8.13778193577598,-132.843218467591,139.890664545245,0.3175,0.061765494421077,0.273835,0.023357195,0.6931324,0.3825,-0.0473067,-0.2709768,0.17574535,0.375,0.056141665,0.00807839,0.4732103,11.6727441843329,1.17688098952866,59.4235620369462,3.90786642161826,-13.5185501170035,52.9979611628477,0.3135,0.079606006918869,0.2982255,0.026521255,0.6324677,0.379,0.0097493,-0.2075679,0.22065965,0.544,0.12669525,0.034089,0.50035515,5.39027185510689,1.33808782675226,19.2904525687655,-0.306545261675666,-14.9578724676848,11.8264811578442,0.4595,-0.020922695764377,0.234545,0.02466293,0.5058659,0.249,0.4861675,0.3489475,0.4758135,0.5530225,0.6006625,0.6588695,0.644535,0.4715215,0.763223,ncRNA0014,Ffs,Ffs
