# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "tRNA,rRNA" "-g" "ID" "-a" "../data/reference_sequences/FQ312003.1.gff" "-o" "../data/rna_align/rRNA_tRNA_counttable.txt" "../data/rna_align/hash1_1_Jvpna21.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna22.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna30.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna31.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna32.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna33.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna34.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna36.fq.gz.bam" "../data/rna_align/hash1_1_Jvpna37.fq.gz.bam" "../data/rna_align/hash1_1_w_o_control.fq.gz.bam" "../data/rna_align/hash1_2_JVpna100.fq.gz.bam" "../data/rna_align/hash1_2_JVpna101.fq.gz.bam" "../data/rna_align/hash1_2_JVpna102.fq.gz.bam" "../data/rna_align/hash1_2_JVpna29.fq.gz.bam" "../data/rna_align/hash1_2_JVpna35.fq.gz.bam" "../data/rna_align/hash1_2_JVpna99.fq.gz.bam" "../data/rna_align/hash1_2_w_o_control.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna21.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna22.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna30.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna31.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna32.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna33.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna34.fq.gz.bam" "../data/rna_align/hash2_1_Jvpna36.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/hash1_1_Jvpna21.fq.gz.bam	../data/rna_align/hash1_1_Jvpna22.fq.gz.bam	../data/rna_align/hash1_1_Jvpna30.fq.gz.bam	../data/rna_align/hash1_1_Jvpna31.fq.gz.bam	../data/rna_align/hash1_1_Jvpna32.fq.gz.bam	../data/rna_align/hash1_1_Jvpna33.fq.gz.bam	../data/rna_align/hash1_1_Jvpna34.fq.gz.bam	../data/rna_align/hash1_1_Jvpna36.fq.gz.bam	../data/rna_align/hash1_1_Jvpna37.fq.gz.bam	../data/rna_align/hash1_1_w_o_control.fq.gz.bam	../data/rna_align/hash1_2_JVpna100.fq.gz.bam	../data/rna_align/hash1_2_JVpna101.fq.gz.bam	../data/rna_align/hash1_2_JVpna102.fq.gz.bam	../data/rna_align/hash1_2_JVpna29.fq.gz.bam	../data/rna_align/hash1_2_JVpna35.fq.gz.bam	../data/rna_align/hash1_2_JVpna99.fq.gz.bam	../data/rna_align/hash1_2_w_o_control.fq.gz.bam	../data/rna_align/hash2_1_Jvpna21.fq.gz.bam	../data/rna_align/hash2_1_Jvpna22.fq.gz.bam	../data/rna_align/hash2_1_Jvpna30.fq.gz.bam	../data/rna_align/hash2_1_Jvpna31.fq.gz.bam	../data/rna_align/hash2_1_Jvpna32.fq.gz.bam	../data/rna_align/hash2_1_Jvpna33.fq.gz.bam	../data/rna_align/hash2_1_Jvpna34.fq.gz.bam	../data/rna_align/hash2_1_Jvpna36.fq.gz.bam
rna-FQ312003.1:289180..290723	FQ312003.1	289180	290723	+	1544	34340	30273	40386	25168	19252	18314	20333	31479	23785	42123	97755	25929	37223	13237	12698	18063	7583	13228	22732	18900	15534	15870	20472	16462	15058
rna-FQ312003.1:290781..290854	FQ312003.1	290781	290854	+	74	5550	4774	3269	9545	5940	5187	5818	4577	4828	5492	2968	2652	3641	6090	5540	3447	6185	4225	5057	3197	3847	3845	3765	4387	3486
rna-FQ312003.1:290967..291039	FQ312003.1	290967	291039	+	73	3321	2154	2056	4628	2783	2469	2727	2241	2339	2834	1817	1366	1771	2981	2560	1446	2999	2556	2966	1814	2383	2477	2180	2265	2050
rna-FQ312003.1:291235..294327	FQ312003.1	291235	294327	+	3093	105996	84532	107698	80483	62449	57399	62767	88347	71866	100536	265583	65100	95764	44529	45515	57889	29511	40555	68278	58422	52873	52641	61505	53319	47934
rna-FQ312003.1:294510..294631	FQ312003.1	294510	294631	+	122	3813	2136	8970	3419	2291	1417	1922	5663	2779	1209	35848	19561	15983	3944	2833	3330	3055	1603	11359	6548	13023	10580	26137	16430	5751
rna-FQ312003.1:294819..294892	FQ312003.1	294819	294892	+	74	875	503	752	1272	687	583	721	816	617	520	1016	602	601	668	545	404	561	528	827	634	828	793	851	783	699
rna-FQ312003.1:304258..304331	FQ312003.1	304258	304331	+	74	118	91	189	206	77	82	75	155	94	75	291	111	99	105	118	96	82	73	171	102	156	131	117	122	90
rna-FQ312003.1:368274..368346	FQ312003.1	368274	368346	+	73	341	246	378	393	330	342	356	369	480	336	507	499	490	578	530	462	409	401	440	411	344	364	304	279	404
rna-FQ312003.1:613046..613119	FQ312003.1	613046	613119	+	74	181	138	108	336	188	148	121	160	157	141	156	194	186	276	248	141	199	188	220	150	209	169	192	210	172
rna-FQ312003.1:737422..737493	FQ312003.1	737422	737493	-	72	321	251	308	470	239	232	251	303	307	300	458	339	313	445	360	200	355	279	418	307	339	404	347	324	313
rna-FQ312003.1:737540..737611	FQ312003.1	737540	737611	-	72	808	658	631	1428	729	664	696	760	749	844	620	703	645	1189	795	447	736	727	991	546	785	791	794	807	785
rna-FQ312003.1:737661..737734	FQ312003.1	737661	737734	-	74	2181	1456	1815	2961	1767	1555	1561	1652	1617	1822	1568	1664	1557	2305	1745	948	1653	1558	2085	1603	2105	2205	2073	1808	1754
rna-FQ312003.1:737753..737824	FQ312003.1	737753	737824	-	72	1780	1451	1284	2710	1650	1458	1566	1475	1402	1891	1053	1108	1264	2190	1758	868	1870	1436	2001	1293	1534	1670	1612	1613	1404
rna-FQ312003.1:737863..737934	FQ312003.1	737863	737934	-	72	2057	1658	1289	3420	1782	1661	1808	1754	1597	2105	947	1137	1392	2251	1824	886	2098	1740	2006	1232	1654	1673	1505	1759	1519
rna-FQ312003.1:737961..738042	FQ312003.1	737961	738042	-	82	2165	1535	1585	3252	1724	1537	1485	1746	1401	2247	1307	1463	1480	2128	1697	875	1829	1542	1950	1372	1963	2215	1887	1797	1583
rna-FQ312003.1:738054..738127	FQ312003.1	738054	738127	-	74	3323	2376	2777	5638	2941	2627	2634	3131	2309	3690	2081	2487	2609	3484	3075	1616	3231	2286	3573	2455	3665	4123	3464	3435	2861
rna-FQ312003.1:818189..818261	FQ312003.1	818189	818261	+	73	7159	6808	4757	12078	6953	7308	7120	6639	5612	9965	2583	3588	3867	8577	6994	2666	7649	6391	6830	4439	6525	6758	5824	6186	6043
rna-FQ312003.1:818396..818468	FQ312003.1	818396	818468	+	73	4292	3051	3449	5729	3614	3253	3320	3367	2845	5025	2454	2853	3151	4729	3968	1820	4774	3636	4515	3159	4134	4758	4009	3580	3155
rna-FQ312003.1:818475..818547	FQ312003.1	818475	818547	+	73	1068	954	528	1528	1196	911	1228	681	900	1236	332	446	562	1263	1044	400	1371	913	1036	600	791	792	779	824	610
rna-FQ312003.1:818600..818672	FQ312003.1	818600	818672	+	73	2468	2100	1516	3422	2185	2212	1996	1881	1737	3265	886	1234	1314	2805	2245	789	2671	2050	2496	1650	2214	2460	2210	2132	2008
rna-FQ312003.1:818810..818882	FQ312003.1	818810	818882	+	73	315	192	237	385	243	273	233	243	181	384	166	220	169	380	310	106	352	340	380	232	317	402	309	264	262
rna-FQ312003.1:983983..984067	FQ312003.1	983983	984067	-	85	267	113	356	239	179	140	158	227	170	170	655	254	246	273	165	152	175	169	256	219	268	316	264	201	232
rna-FQ312003.1:1131644..1131728	FQ312003.1	1131644	1131728	+	85	67	37	79	76	54	63	32	40	46	48	244	75	79	75	81	66	58	50	63	52	77	82	84	47	51
rna-FQ312003.1:1180884..1180968	FQ312003.1	1180884	1180968	-	85	243	169	193	266	182	149	167	207	167	208	335	236	195	201	198	115	153	154	209	122	220	245	221	196	218
rna-FQ312003.1:1290067..1290140	FQ312003.1	1290067	1290140	+	74	32	28	38	32	25	26	26	23	29	32	62	50	37	42	32	30	34	47	32	28	38	40	14	28	19
rna-FQ312003.1:1302505..1302578	FQ312003.1	1302505	1302578	+	74	19	10	28	14	11	5	16	20	20	9	57	27	31	15	24	28	10	14	14	24	20	18	17	8	15
rna-FQ312003.1:1458502..1458575	FQ312003.1	1458502	1458575	-	74	137	123	125	205	121	112	93	85	117	127	164	132	129	191	163	102	136	133	136	87	110	127	136	116	120
rna-FQ312003.1:1458589..1458662	FQ312003.1	1458589	1458662	-	74	385	274	408	599	332	281	302	332	328	310	384	312	374	396	351	245	325	288	371	309	415	433	352	301	382
rna-FQ312003.1:1809422..1809503	FQ312003.1	1809422	1809503	+	82	2948	2782	2598	4159	2557	2587	2399	2871	2431	3202	1967	2516	2405	3772	2929	1509	2702	2424	3239	2119	2704	2839	2648	2915	2576
rna-FQ312003.1:1809711..1809792	FQ312003.1	1809711	1809792	+	82	429	382	296	411	319	322	268	345	313	440	289	398	381	474	454	206	466	372	425	288	365	372	386	347	318
rna-FQ312003.1:1992933..1993016	FQ312003.1	1992933	1993016	-	84	376	248	275	494	314	266	236	295	248	338	381	395	357	387	353	257	326	316	442	287	383	356	331	286	308
rna-FQ312003.1:1993031..1993101	FQ312003.1	1993031	1993101	-	71	413	313	298	714	422	306	343	361	404	424	369	365	353	417	419	321	427	318	376	256	298	349	295	342	269
rna-FQ312003.1:1993157..1993229	FQ312003.1	1993157	1993229	-	73	1086	970	793	1898	1146	871	990	932	1153	1162	1012	818	818	1207	1107	718	1086	943	1122	846	989	1088	937	947	869
rna-FQ312003.1:2079891..2079977	FQ312003.1	2079891	2079977	-	87	245	219	183	342	262	210	240	215	336	232	277	234	300	377	275	186	322	167	277	194	204	204	175	201	140
rna-FQ312003.1:2080964..2081036	FQ312003.1	2080964	2081036	+	73	284	165	277	298	182	229	201	202	207	211	417	358	275	324	322	195	264	216	312	209	295	322	284	205	194
rna-FQ312003.1:2081934..2082006	FQ312003.1	2081934	2082006	+	73	1292	788	1178	1551	1085	835	987	1124	1279	684	1085	1492	1355	1236	1167	840	744	674	1284	1046	1204	1250	1196	1059	1020
rna-FQ312003.1:2091879..2091951	FQ312003.1	2091879	2091951	-	73	176	114	180	193	147	105	101	116	133	98	224	286	212	165	144	120	127	118	168	172	191	154	159	129	135
rna-FQ312003.1:2093709..2093781	FQ312003.1	2093709	2093781	+	73	130	73	126	187	113	116	104	120	159	115	168	125	126	129	142	104	121	107	125	107	102	92	97	107	92
rna-FQ312003.1:2328470..2328543	FQ312003.1	2328470	2328543	+	74	84	36	83	58	43	31	33	81	59	50	160	94	72	62	75	44	45	62	82	64	78	108	59	64	87
rna-FQ312003.1:2503540..2503611	FQ312003.1	2503540	2503611	+	72	71	69	117	91	40	51	36	79	103	43	136	129	101	128	99	101	64	61	79	92	79	77	87	71	99
rna-FQ312003.1:2526657..2526729	FQ312003.1	2526657	2526729	-	73	496	309	509	612	321	367	294	430	324	337	673	441	366	533	330	205	307	332	540	330	438	591	448	466	416
rna-FQ312003.1:2526775..2526847	FQ312003.1	2526775	2526847	-	73	1431	1064	1049	2094	1249	1140	1121	1577	1103	958	724	1011	792	1514	994	695	687	794	1360	764	1247	1157	1270	1316	1133
rna-FQ312003.1:2529553..2529625	FQ312003.1	2529553	2529625	+	73	4881	3584	4686	7418	3842	4022	3556	4495	3150	5988	3445	4184	5007	5914	5281	2941	5005	4013	5810	4495	5711	6502	5513	4995	4311
rna-FQ312003.1:2529674..2529746	FQ312003.1	2529674	2529746	+	73	3314	2597	2901	5014	2415	2573	2411	2885	2072	4307	2218	2559	3102	4036	3582	1873	3742	2944	3713	2933	3701	4350	3530	3333	2649
rna-FQ312003.1:2529791..2529863	FQ312003.1	2529791	2529863	+	73	528	323	454	815	362	391	373	378	320	699	350	406	439	573	555	292	628	510	579	445	507	697	491	413	409
rna-FQ312003.1:2529871..2529943	FQ312003.1	2529871	2529943	+	73	188	165	130	257	138	152	176	148	168	268	131	116	129	254	181	88	228	193	216	137	178	181	183	188	146
rna-FQ312003.1:2759338..2759411	FQ312003.1	2759338	2759411	-	74	39	39	24	38	46	34	53	16	23	38	32	37	28	50	37	24	41	38	45	26	27	30	23	41	29
rna-FQ312003.1:2796853..2796974	FQ312003.1	2796853	2796974	-	122	469	259	1224	447	302	192	225	680	360	154	5297	2974	2347	628	390	398	405	212	1517	954	1869	1556	3653	2264	821
rna-FQ312003.1:2797142..2800175	FQ312003.1	2797142	2800175	-	3034	12803	10212	14485	9737	7341	6901	7445	10055	8584	11848	36114	9642	12726	5555	5526	6711	3672	5482	8670	8378	7302	7890	8724	6970	6941
rna-FQ312003.1:2800374..2800446	FQ312003.1	2800374	2800446	-	73	435	360	369	577	362	365	337	327	412	271	372	225	266	403	361	205	365	298	438	365	433	404	373	398	354
rna-FQ312003.1:2800520..2802063	FQ312003.1	2800520	2802063	-	1544	5462	4546	7124	4171	2928	2937	3198	4714	3891	6255	16915	4597	6099	2306	2248	2990	1336	2469	3655	3411	2846	3065	3436	2644	2856
rna-FQ312003.1:2992506..2992579	FQ312003.1	2992506	2992579	-	74	1313	1086	932	1545	1205	1100	1119	1121	916	1484	745	1045	1032	1531	1322	593	1386	1205	1351	918	1235	1376	1242	1130	1077
rna-FQ312003.1:2992776..2992849	FQ312003.1	2992776	2992849	-	74	1294	1317	801	1678	1218	1252	1114	1153	915	1595	622	968	1039	1755	1467	550	1445	1324	1379	823	1103	1248	1085	1143	1041
